name,category,piston,breaks_water,stable,spawn_hostile,spawn_friendly,solid,conductive,height,height_note,width,width_note,falls,flammable,notes,id
Stone,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,stone
Granite (+ Polished Granite),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,granite-polished-granite
Diorite (+ Polished Diorite),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,diorite-polished-diorite
Andesite (+ Polished Andesite),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,andesite-polished-andesite
Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,deepslate
Cobbled Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,cobbled-deepslate
Polished Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,polished-deepslate
Chiseled Deepslate,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,chiseled-deepslate
Deepslate Bricks (+ Cracked),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,deepslate-bricks-cracked
Deepslate Tiles (+ Cracked),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,deepslate-tiles-cracked
Tuff (+ Chiseled Tuff),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,tuff
Polished Tuff,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,polished-tuff
Tuff Bricks (+ Chiseled),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,tuff-bricks-chiseled
Calcite,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,calcite
Dripstone Block,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,dripstone-block
Cobblestone (+ Mossy Cobblestone),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,cobblestone-mossy-cobblestone
"Stone Bricks (+ Mossy, Cracked, Chiseled)",Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,stone-bricks-mossy-cracked-chiseled
Smooth Stone,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,smooth-stone
Bedrock,Stone & Mineral,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,16,,16,,FALSE,FALSE,Unbreakable and unobtainable in survival. Blocks piston extension entirely (piston does not extend). Explicitly excluded from normal mob spawning despite being a solid opaque block.,bedrock
Amethyst Block,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,amethyst-block
Budding Amethyst,Stone & Mineral,Breaks,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Cannot be mined/silk-touched (yields nothing when broken by hand). Breaks immediately if pushed OR pulled by any piston, despite needing no support.",budding-amethyst
Amethyst Cluster (+ Small/Medium/Large Buds),Stone & Mineral,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,7,Grows with stage: ~3px (small bud) up to ~7px (full cluster),10,"Footprint grows with stage: small/medium buds are narrower, widening to ~10px×10px for a full cluster, centered on the attachment face.",FALSE,FALSE,Must grow from/attach to Budding Amethyst or another cluster segment.,amethyst-cluster-small-medium-large-buds
Moss Block,Stone & Mineral,Breaks,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Full opaque block that spreads via bone meal. In Java Edition it is destroyed and dropped when pushed by a piston (movable in Bedrock Edition).,moss-block
Sculk,Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Spreads via a Sculk Catalyst consuming XP nearby. An ordinary movable full block, unlike Sculk Sensor/Shrieker/Catalyst.",sculk
Sculk Vein,Stone & Mineral,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Thin coating that spreads across any adjacent block face(s), like Glow Lichen. No player collision.",sculk-vein
Sponge (+ Wet Sponge),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,sponge-wet-sponge
Obsidian,Stone & Mineral,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Blocks piston extension entirely. High blast resistance.,obsidian
Crying Obsidian,Stone & Mineral,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Blocks piston extension entirely.,crying-obsidian
Reinforced Deepslate,Stone & Mineral,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Unbreakable and unobtainable in survival. Blocks piston extension entirely.,reinforced-deepslate
Resin Block / Resin Bricks (+ Chiseled),Stone & Mineral,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,resin-block-resin-bricks-chiseled
Resin Clump,Stone & Mineral,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Thin decorative growth on certain blocks (Pale Garden). No player collision.,resin-clump
Dirt,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,dirt
Coarse Dirt,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,coarse-dirt
Rooted Dirt,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,rooted-dirt
Podzol,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,podzol
Mud,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,14,Top surface sits 2px below a full block (collision box 16×14×16) even though the visual model looks flush.,16,,FALSE,FALSE,,mud
Packed Mud,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,packed-mud
Mud Bricks,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,mud-bricks
Grass Block,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,The primary block passive mobs (animals) naturally spawn on in the Overworld.,grass-block
Mycelium,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,mycelium
Clay Block,Dirt & Organic Terrain,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,clay-block
Farmland,Dirt & Organic Terrain,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,15,,16,,FALSE,FALSE,Top sits 1px below a full block. Reverts to Dirt if the space above is obstructed or it's trampled by a jumping entity. Partial block (15/16 height) — explicitly not a valid spawn surface per the wiki.,farmland
Dirt Path,Dirt & Organic Terrain,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,15,,16,,FALSE,FALSE,"Top sits 1px below a full block. Reverts to Dirt if a block is placed on top. Partial block (15/16 height), same mechanic as Farmland — not a valid spawn surface.",dirt-path
Sand (+ Suspicious Sand),Sand & Gravel,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,TRUE,FALSE,,sand-suspicious-sand
Red Sand,Sand & Gravel,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,TRUE,FALSE,,red-sand
Gravel (+ Suspicious Gravel),Sand & Gravel,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,TRUE,FALSE,,gravel-suspicious-gravel
"Ores — Coal, Iron, Copper, Gold, Redstone, Emerald, Lapis, Diamond (+ Deepslate variants), Nether Gold, Nether Quartz",Ores & Minerals,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Lit Redstone Ore behaves identically to unlit for these properties.,ores-coal-iron-copper-gold-redstone-emerald-lapis-diamond-deepslate-variants-nether-gold-nether-quartz
Ancient Debris,Ores & Minerals,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Very high blast resistance, but a normal movable/stable block for these properties.",ancient-debris
"Mineral Storage Blocks — Coal, Iron, Copper, Gold, Redstone, Emerald, Lapis, Diamond, Netherite, Raw Iron, Raw Copper, Raw Gold",Ores & Minerals,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Block of Redstone is the one exception in this group — it is explicitly non-conductive (so it can't re-power itself into an infinite loop).,mineral-storage-blocks-coal-iron-copper-gold-redstone-emerald-lapis-diamond-netherite-raw-iron-raw-copper-raw-gold
"Quartz Block (+ Chiseled, Pillar, Smooth)",Ores & Minerals,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,quartz-block-chiseled-pillar-smooth
"Copper Block (+ Cut, all oxidation stages, waxed)",Copper,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,copper-block-cut-all-oxidation-stages-waxed
Copper Bulb (all oxidation stages),Copper,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,16,,16,,FALSE,FALSE,Toggles its lit state via redstone; physical properties unaffected.,copper-bulb-all-oxidation-stages
Copper Grate (all oxidation stages),Copper,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Solid but not opaque (light passes through the lattice), so it isn't a valid mob-spawn surface.",copper-grate-all-oxidation-stages
Netherrack,Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,netherrack
"Nether Bricks (+ Cracked, Chiseled, Red Nether Bricks)",Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,nether-bricks-cracked-chiseled-red-nether-bricks
Soul Sand,Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,14,Top surface sits 2px below a full block (collision box 16×14×16) even though the visual model looks flush.,16,,FALSE,FALSE,Slows entities standing on it; creates upward bubble columns underwater that pull entities/items down.,soul-sand
Soul Soil,Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Extends Soul Fire when set alight nearby; does not slow entities (unlike Soul Sand).,soul-soil
"Basalt (+ Polished, Smooth)",Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,basalt-polished-smooth
"Blackstone (+ Polished, Bricks, Cracked, Chiseled, Gilded)",Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,blackstone-polished-bricks-cracked-chiseled-gilded
Magma Block,Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Damages standing entities (unless wearing Frost Walker-affected boots or immune) but is still a normal opaque spawn surface.,magma-block
Glowstone,Nether,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Transparent — monsters (incl. slimes) cannot spawn on it, same as Sea Lantern.",glowstone
Shroomlight,Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,shroomlight
Nether Wart Block (+ Warped Wart Block),Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,Warped Wart Block is the exception — not flammable.,nether-wart-block-warped-wart-block
Crimson Nylium / Warped Nylium,Nether,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,crimson-nylium-warped-nylium
Respawn Anchor,Nether,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Blocks piston extension entirely. Explodes if activated without charges in the Overworld/End.,respawn-anchor
End Stone,End,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,end-stone
End Stone Bricks,End,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,end-stone-bricks
Purpur Block (+ Purpur Pillar),End,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,purpur-block-purpur-pillar
Bone Block,End,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,bone-block
End Gateway,End,Immovable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,No collision — entities fall through into the teleport field. Only placed by world generation/commands.,end-gateway
End Portal (block),End,Immovable,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,No collision. Only placed by world generation/commands.,end-portal-block
End Portal Frame,End,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,13,,16,,FALSE,FALSE,Slightly short of a full block (13/16px). Blocks piston extension entirely. Raised rim / hollow eye-socket shape — not a complete flat top.,end-portal-frame
"Prismarine (+ Bricks, Dark Prismarine)",Ocean & Aquatic,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,prismarine-bricks-dark-prismarine
Sea Lantern,Ocean & Aquatic,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Transparent — monsters (incl. slimes) cannot spawn on it, same as Glowstone.",sea-lantern
Conduit,Ocean & Aquatic,Immovable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6,,6,,FALSE,FALSE,"Not a full cube — it's a small 6×6×6px floating cube centered in the block (doesn't touch the floor), not a 16px cube. Not opaque, so it's not a valid spawn surface. Blocks piston extension entirely.",conduit
"Coral Block (all 5 colors, live + dead)",Ocean & Aquatic,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,Live coral blocks die (become their dead variant) if not adjacent to water.,coral-block-all-5-colors-live-dead
"Coral / Coral Fan (all 5 colors, live + dead, incl. wall fans)",Ocean & Aquatic,Movable,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,"Special piston exception like Rails — usually relocates instead of breaking, though some configurations still break it and emit a block update. Needs a solid block below/beside; live coral also needs adjacent water to stay alive.",coral-coral-fan-all-5-colors-live-dead-incl-wall-fans
Kelp (+ Kelp Plant),Ocean & Aquatic,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Grows upward as a multi-block stack; base needs a solid block or more Kelp below.,kelp-kelp-plant
Seagrass (+ Tall Seagrass),Ocean & Aquatic,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Needs to be underwater on top of a solid block.,seagrass-tall-seagrass
Sea Pickle (1–4 cluster),Ocean & Aquatic,Breaks,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,,4,,FALSE,FALSE,"Has a real (if small) collision box — roughly 4×6×4px for a single pickle, growing somewhat with cluster size. Needs a solid block below; glows brighter underwater.",sea-pickle-1-4-cluster
Frogspawn,Ocean & Aquatic,Breaks,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,FALSE,Must sit on top of Water with a solid block below the water. Hatches into tadpoles over time.,frogspawn
Ice,Ice & Snow,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,"Transparent, so it isn't a valid opaque spawn surface despite being solid. Melts near light unless in a cold-enough biome.",ice
Packed Ice,Ice & Snow,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,packed-ice
Blue Ice,Ice & Snow,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,blue-ice
Frosted Ice,Ice & Snow,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,Gradually melts back to Water unless kept cold; otherwise behaves like normal Ice. Transparent like Ice — not a valid spawn surface (only Polar Bears are exempt).,frosted-ice
Snow Block,Ice & Snow,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,snow-block
Snow Layer (1–7 layers),Ice & Snow,Breaks,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,12,"Collision height is 2px LESS than the visual layer height (16×(2L-2)×16): a single layer (L=1) has almost no collision at all, up to 12px collision at 7 layers; an 8th layer becomes a full Snow Block instead.",16,,FALSE,FALSE,Needs a solid block below. Polar bears are a special-cased exception that can still spawn on snow/ice.,snow-layer-1-7-layers
"Logs & Wood (all species incl. Crimson/Warped stems, stripped variants, all axis orientations)",Wood,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,"Crimson and Warped are the exception — Nether ""wood"" (their Stems, Hyphae, and stripped variants) is not flammable and cannot be set alight, unlike all Overworld log/wood species.",logs-wood-all-species-incl-crimson-warped-stems-stripped-variants-all-axis-orientations
Planks (all species incl. Bamboo Planks & Bamboo Mosaic),Wood,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,"Crimson and Warped Planks are the exception — Nether wood is not flammable, unlike all Overworld plank species (Bamboo Planks & Mosaic included).",planks-all-species-incl-bamboo-planks-bamboo-mosaic
Bookshelf,Wood,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,,bookshelf
Chiseled Bookshelf,Wood,Immovable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,"Stores books (tile entity) — blocks piston extension entirely, like a chest.",chiseled-bookshelf
Crafting Table / Cartography Table / Fletching Table / Smithing Table / Loom / Stonecutter,Wood,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,Plain functional blocks with no stored inventory — movable normally. Smithing Table and Stonecutter are the exceptions — not flammable.,crafting-table-cartography-table-fletching-table-smithing-table-loom-stonecutter
Leaves (all species incl. Azalea/Flowering Azalea Leaves),Wood,Breaks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,TRUE,"Persists based on distance-to-log (not physical support), so it's stable/floating-capable. Destroyed (not relocated) when pushed by a piston, and does NOT stick to slime/honey blocks. Can be waterlogged, so flowing water doesn't wash it away.",leaves-all-species-incl-azalea-flowering-azalea-leaves
"Saplings (all species, incl. Mangrove Propagule)",Wood,Breaks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,0,,FALSE,TRUE,Needs Dirt/Podzol/Mud/Farmland-type block below; needs light to grow.,saplings-all-species
Wool (16 colors),Dyed Blocks,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,TRUE,,wool-16-colors
Carpet (16 colors + Moss Carpet),Dyed Blocks,Movable,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1,,16,,FALSE,TRUE,"Needs a non-air block below (any block qualifies), but this is a named piston exception — carpets relocate intact instead of breaking. Still washed away by flowing water. Moss Carpet is the exception — not flammable.",carpet-16-colors-moss-carpet
Concrete (16 colors),Dyed Blocks,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,concrete-16-colors
Concrete Powder (16 colors),Dyed Blocks,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,TRUE,FALSE,Turns into solid Concrete instantly on contact with water.,concrete-powder-16-colors
Terracotta (plain + 16 stained colors),Dyed Blocks,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,,terracotta-plain-16-stained-colors
Glazed Terracotta (16 colors),Dyed Blocks,Movable,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,16,,16,,FALSE,FALSE,"Movable by piston, but uniquely does NOT stick to adjacent slime/honey blocks the way most movable blocks do. Conductive like any full block, on top of its other quirks noted above.",glazed-terracotta-16-colors
Glass (clear + 16 stained colors),Dyed Blocks,Movable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,16,,16,,FALSE,FALSE,Transparent — not a valid opaque spawn surface.,glass-clear-16-stained-colors
